"COUNTRY_CODE","ISO_YEAR","Population","Air_passenger","Rate_poverty","International_Departure","GDP_percapita","Temperature_variation","Temperature","Vaccination_coverage","medium","high","veryhigh","N_medium","time_medium","rate_medium","N_high","time_high","rate_high","N_veryhigh","time_veryhigh","rate_veryhigh"
"Paraguay",2022,6530026,8590840,0.0156652413333333,5483256,14991.66,-0.030955477,24.855934,98,1,1,1,25,1,14.85,12,1,18.66,12,1,18.66
"Paraguay",2023,6530026,8590840,0.0156652413333333,14689784,15406.167,-0.030955477,24.115557,98,1,1,1,6,20,18.4,2,21,25.29,1,23,27.1
"Paraguay",2024,6530026,8590840,0.0156652413333333,15502932.5,15259.146,-0.030955477,24.039297,98,1,1,1,4,21,27.87,4,21,28.93,4,21,28.93
"Suriname",2016,575475,259682,0.04718548,3581124,24414.355,0.232934256,26.094637,98,1,1,0,38,9,0.0171982946171058,12,9,0.0859914730855288,0,52,0.14059605849484
"Suriname",2017,581453,280090,0.045961814,4749788,23327.525,0.381746768,26.237696,98,1,1,0,41,1,0.0170195673966359,11,10,0.0680782695865437,0,52,0.134454582433424
"Suriname",2018,587559,284935,0.044970579,4895761,21950.412,0.161893152,26.319815,98,1,1,0,9,1,0.08,1,2,0.15,0,52,0.16
"Suriname",2019,593715,272347,0.045961814,4779213,22070.514,-0.126953446,26.193037,98,1,1,0,11,4,0.07,4,5,0.14,0,52,0.17
"Suriname",2020,600301,236601,0.045961814,4889263,22938.535,0.216226924,25.81112,0,0,0,0,0,52,0.1,0,52,0.19,0,52,0.26
"Suriname",2021,600301,8590840,0.045961814,1912674,22966.74,-0.030955477,26.228537,98,1,1,1,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Suriname",2022,600301,8590840,0.044970579,5008854,19091.361,-0.030955477,26.233355,98,0,0,0,0,52,0.05,0,52,0.09,0,52,0.13
"Suriname",2023,600301,8590840,0.044970579,6955390,18458.234,-0.030955477,25.761225,98,1,1,0,18,1,0.02,8,1,0.05,0,52,0.06
"Suriname",2024,600301,8590840,0.04718548,3581124,18742.588,-0.030955477,25.610168,98,0,0,0,0,52,0.05,0,52,0.07,0,52,0.09
